idx,language,theme,OpenAI,gemini,doubao,qwen,grok-1,perplexity,tongyi,avg
86,en,Hardware,,0.725490,0.588235,0.392157,0.588235,0.607843,0.431373,0.555556
121,zh,Travel,0.875000,0.437500,0.687500,0.562500,0.562500,0.562500,0.125000,0.544643
114,en,Software,0.648649,0.567568,0.567568,0.486486,0.459459,0.513514,0.540541,0.540541
84,en,History,0.452381,0.571429,0.619048,0.547619,0.571429,0.523810,0.404762,0.527211
75,zh,Literature,0.571429,0.400000,0.742857,0.314286,0.600000,0.428571,0.571429,0.518367
21,zh,Science & Technology,0.615385,0.538462,0.641026,0.487179,0.333333,0.589744,0.333333,0.505495
43,zh,Software Development,0.684211,0.605263,0.473684,0.526316,0.500000,0.355263,0.328947,0.496241
68,en,Health,0.562500,0.416667,0.562500,0.479167,0.395833,0.666667,0.375000,0.494048
31,zh,Science & Technology,0.588235,0.517647,0.541176,0.447059,0.400000,0.517647,0.435294,0.492437
46,en,Software Development,0.552632,0.473684,0.526316,0.473684,0.605263,0.394737,0.368421,0.484962
41,zh,Software Development,0.613636,0.477273,0.613636,0.500000,0.431818,0.409091,0.340909,0.483766
97,zh,Art & Design,0.550000,0.525000,,0.525000,0.575000,0.375000,0.300000,0.475000
83,zh,History,0.677419,0.258065,0.516129,0.516129,0.548387,0.580645,0.193548,0.470046
26,en,Science & Technology,0.541667,0.375000,0.687500,0.458333,0.354167,0.479167,0.375000,0.467262
6,en,Finance & Business,0.703125,0.453125,0.468750,0.281250,0.640625,0.375000,0.343750,0.466518
103,zh,Crime & Law,0.666667,0.484848,0.606061,0.060606,0.484848,0.606061,0.303030,0.458874
1,zh,Finance & Business,0.500000,0.500000,0.230769,0.653846,0.500000,0.384615,0.346154,0.445055
122,en,Home & Hobbies,0.621212,0.424242,0.242424,0.590909,0.363636,0.575758,0.242424,0.437229
76,en,Literature,0.446809,0.638298,0.404255,0.510638,0.319149,0.382979,0.340426,0.434650
19,zh,Science & Technology,0.483871,0.419355,0.612903,0.290323,0.387097,0.516129,0.322581,0.433180
63,zh,Health,0.461538,0.384615,0.487179,0.333333,0.538462,0.384615,0.410256,0.428571
71,zh,Health,0.400000,0.375000,0.850000,0.300000,0.500000,0.475000,0.100000,0.428571
47,zh,Software Development,0.441441,0.468468,0.279279,0.441441,0.432432,0.441441,0.423423,0.418275
106,en,Entertainment,0.530120,0.518072,0.530120,0.457831,0.481928,0.337349,0.060241,0.416523
16,en,Science & Technology,0.459459,0.405405,0.486486,0.702703,0.297297,0.189189,0.324324,0.409266
117,zh,Religion,0.545455,0.363636,0.545455,0.386364,0.386364,0.363636,0.272727,0.409091
49,zh,Software Development,0.559322,0.457627,0.406780,0.355932,0.491525,0.389831,0.186441,0.406780
119,zh,Travel,0.444444,0.422222,0.355556,0.400000,0.444444,0.511111,0.266667,0.406349
80,en,History,0.521739,0.434783,0.434783,0.304348,0.391304,0.347826,,0.405797
118,en,Religion,0.388889,0.305556,0.416667,0.583333,0.444444,0.388889,0.305556,0.404762
77,zh,Literature,0.534884,0.418605,,0.395349,0.558140,0.395349,0.116279,0.403101
130,en,Food & Dining,0.322581,0.580645,0.338710,0.548387,0.354839,0.322581,0.274194,0.391705
109,zh,Transportation,0.440000,0.360000,0.340000,0.480000,0.280000,0.440000,,0.390000
98,en,Art & Design,0.525000,0.450000,0.425000,0.400000,0.425000,0.450000,0.025000,0.385714
55,zh,Education & Jobs,0.611111,0.333333,0.000000,0.638889,0.472222,0.388889,0.222222,0.380952
60,en,Education & Jobs,0.351351,0.486486,0.378378,0.351351,0.432432,0.351351,0.270270,0.374517
57,zh,Education & Jobs,0.358974,0.307692,0.564103,0.461538,0.307692,0.384615,0.230769,0.373626
113,zh,Software,0.605263,0.394737,0.184211,0.368421,0.368421,0.473684,0.210526,0.372180
28,en,Science & Technology,0.517241,0.344828,0.327586,0.500000,0.379310,0.172414,0.362069,0.371921
89,zh,Hardware,0.431818,0.363636,0.340909,0.386364,0.454545,0.340909,0.227273,0.363636
52,en,Education & Jobs,0.400000,0.400000,0.428571,0.371429,0.257143,0.428571,0.257143,0.363265
85,zh,History,0.428571,0.400000,0.342857,0.428571,0.342857,0.371429,0.228571,0.363265
92,en,Industrial,0.550725,0.333333,0.304348,0.231884,0.550725,0.449275,0.086957,0.358178
101,zh,Games,0.500000,0.272727,0.363636,0.454545,0.272727,0.363636,0.227273,0.350649
24,en,Science & Technology,0.418919,0.337838,0.391892,0.405405,0.310811,0.297297,0.283784,0.349421
29,zh,Science & Technology,0.264151,0.509434,0.320755,0.339623,0.452830,0.188679,0.320755,0.342318
132,en,Fashion & Beauty,0.420000,0.300000,0.320000,0.460000,0.260000,0.360000,0.220000,0.334286
124,en,Home & Hobbies,0.393443,0.393443,0.409836,0.295082,0.278689,0.360656,0.196721,0.332553
13,zh,Finance & Business,0.582609,0.443478,0.234783,0.173913,0.391304,0.147826,0.313043,0.326708
18,en,Science & Technology,0.340000,0.260000,0.540000,0.260000,0.340000,0.300000,0.220000,0.322857
37,zh,Science & Technology,0.580645,0.225806,0.322581,0.096774,0.451613,0.354839,0.193548,0.317972
78,en,Literature,0.500000,0.325000,0.275000,0.400000,0.300000,0.200000,0.150000,0.307143
128,en,Food & Dining,0.470588,0.333333,0.215686,0.254902,0.254902,0.431373,0.156863,0.302521
108,en,Transportation,0.400000,0.333333,0.500000,0.200000,0.183333,0.300000,0.183333,0.300000
116,en,Religion,0.344828,0.241379,0.275862,0.379310,0.344828,0.310345,0.172414,0.295567
73,zh,Health,0.474359,0.179487,0.346154,0.179487,0.410256,0.115385,0.333333,0.291209
35,zh,Science & Technology,0.335443,0.297468,0.120253,0.278481,0.335443,0.341772,0.297468,0.286618
110,en,Sports & Fitness,0.377778,0.355556,0.244444,0.288889,0.222222,0.244444,0.266667,0.285714
50,en,Software Development,0.210526,0.263158,0.368421,0.289474,0.263158,0.289474,0.289474,0.281955
53,zh,Education & Jobs,0.322034,0.305085,0.389831,0.237288,0.203390,0.237288,0.254237,0.278450
38,en,Science & Technology,0.367089,0.316456,0.253165,0.215190,0.240506,0.303797,0.240506,0.276673
104,en,Crime & Law,0.291667,0.416667,,,0.416667,0.208333,0.041667,0.275000
61,zh,Education & Jobs,0.176471,0.235294,0.323529,0.735294,0.235294,0.176471,0.029412,0.273109
115,zh,Religion,0.250000,0.343750,0.406250,0.281250,0.281250,0.093750,0.218750,0.267857
33,zh,Science & Technology,0.280702,0.263158,0.175439,0.315789,0.210526,0.333333,0.245614,0.260652
30,en,Science & Technology,0.344828,0.344828,0.241379,0.206897,0.189655,0.344828,0.120690,0.256158
99,zh,Art & Design,0.279070,0.348837,0.232558,0.325581,0.255814,0.232558,0.116279,0.255814
66,en,Health,0.291667,0.416667,0.208333,0.333333,0.229167,0.166667,0.083333,0.247024
48,en,Software Development,0.370370,0.222222,0.203704,0.296296,0.111111,0.333333,0.185185,0.246032
65,zh,Health,0.317073,0.195122,0.243902,0.317073,0.292683,0.243902,0.097561,0.243902
88,en,Hardware,0.356164,0.246575,0.109589,0.301370,0.150685,0.383562,0.095890,0.234834
59,zh,Education & Jobs,0.120000,0.320000,0.380000,0.080000,0.240000,0.280000,0.220000,0.234286
125,zh,Social Life,0.311111,0.200000,0.355556,0.022222,0.333333,0.333333,0.000000,0.222222
87,zh,Hardware,0.317073,0.317073,0.097561,0.195122,0.268293,0.146341,0.170732,0.216028
4,en,Finance & Business,0.339623,0.320755,0.132075,0.226415,0.226415,0.150943,0.056604,0.207547
107,zh,Transportation,0.211009,0.366972,0.330275,0.055046,0.128440,0.284404,0.073394,0.207077
23,zh,Science & Technology,0.250000,0.216667,0.166667,0.233333,0.183333,0.233333,0.150000,0.204762
70,en,Health,0.500000,0.041667,0.069444,0.083333,0.097222,0.500000,0.013889,0.186508
129,zh,Food & Dining,0.022727,0.227273,0.090909,0.272727,0.250000,0.272727,0.136364,0.181818
120,en,Travel,0.478495,0.172043,0.193548,0.000000,0.215054,0.177419,0.000000,0.176651
17,zh,Science & Technology,0.220779,0.207792,0.181818,0.116883,0.246753,0.116883,0.142857,0.176252
74,en,Literature,0.214286,0.178571,0.178571,0.303571,0.089286,0.214286,0.053571,0.176020
42,en,Software Development,0.276596,0.234043,0.234043,0.191489,0.127660,0.106383,0.042553,0.173252
127,zh,Social Life,0.119048,0.119048,0.214286,0.142857,0.190476,0.190476,0.214286,0.170068
131,zh,Fashion & Beauty,0.285714,0.000000,0.000000,0.904762,0.000000,0.000000,0.000000,0.170068
32,en,Science & Technology,0.200000,0.077778,0.288889,0.188889,0.188889,0.211111,0.033333,0.169841
90,en,Hardware,0.133333,0.213333,0.133333,0.146667,0.226667,0.213333,0.106667,0.167619
79,zh,Literature,0.200000,0.066667,,,0.133333,0.233333,0.166667,0.160000
91,zh,Hardware,0.192308,0.166667,0.115385,0.358974,0.141026,0.102564,0.025641,0.157509
2,en,Finance & Business,0.218391,0.172414,0.241379,0.114943,0.149425,0.114943,0.068966,0.154351
45,zh,Software Development,0.062500,0.187500,0.375000,0.312500,0.125000,0.000000,0.000000,0.151786
105,zh,Entertainment,0.106383,0.191489,0.148936,0.127660,0.127660,0.170213,0.148936,0.145897
112,en,Sports & Fitness,0.050000,0.183333,0.200000,0.016667,0.200000,0.233333,0.083333,0.138095
3,zh,Finance & Business,0.275362,0.086957,0.144928,0.115942,0.115942,0.144928,0.057971,0.134576
27,zh,Science & Technology,0.122449,0.122449,0.163265,0.102041,0.122449,0.122449,0.081633,0.119534
111,zh,Sports & Fitness,0.050000,0.050000,0.125000,0.075000,0.150000,0.250000,0.050000,0.107143
96,en,Industrial,0.153846,0.076923,0.134615,0.076923,0.019231,0.076923,0.173077,0.101648
39,zh,Software Development,0.082474,0.092784,0.134021,0.113402,0.103093,0.113402,0.051546,0.098675
54,en,Education & Jobs,0.081633,0.081633,0.061224,0.183673,0.102041,0.102041,0.061224,0.096210
126,en,Social Life,0.295082,0.213115,0.065574,0.000000,0.049180,0.000000,0.000000,0.088993
5,zh,Finance & Business,0.000000,0.000000,0.217391,0.304348,0.043478,0.043478,0.000000,0.086957
8,en,Finance & Business,0.145455,0.072727,0.054545,0.163636,0.054545,0.018182,0.054545,0.080519
102,en,Games,0.073171,0.170732,0.073171,0.073171,0.073171,0.000000,0.073171,0.076655
82,en,History,0.100000,0.025000,,0.050000,0.100000,0.050000,0.050000,0.062500
40,en,Software Development,0.032000,0.000000,0.056000,0.000000,0.064000,0.000000,0.120000,0.038857
22,en,Science & Technology,0.022222,0.200000,0.022222,0.000000,0.022222,0.000000,0.000000,0.038095
62,en,Health,0.043478,0.043478,0.086957,0.043478,0.000000,0.000000,0.000000,0.031056
93,zh,Industrial,0.055556,0.037037,0.018519,0.037037,0.018519,0.018519,0.018519,0.029101
25,zh,Science & Technology,0.025316,0.000000,0.088608,0.037975,0.025316,0.000000,0.012658,0.027125
58,en,Education & Jobs,0.040000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.011429
94,en,Industrial,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010989
81,zh,History,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007937
56,en,Education & Jobs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017544,0.002506
avg,,,0.399824,0.349147,0.348333,0.341784,0.335185,0.330462,0.229518,0.333502
