idx,language,theme,OpenAI,gemini,doubao,qwen,grok-1,perplexity,tongyi,avg
49,zh,Software Development,0.645570,0.544304,0.493671,0.405063,0.607595,0.493671,0.303797,0.499096
103,zh,Crime & Law,0.644444,0.533333,0.555556,0.222222,0.488889,0.622222,0.355556,0.488889
60,en,Education & Jobs,0.474576,0.576271,0.457627,0.474576,0.542373,0.474576,0.389831,0.484262
77,zh,Literature,0.600000,0.516667,,0.466667,0.616667,0.466667,0.216667,0.480556
71,zh,Health,0.490566,0.452830,0.773585,0.339623,0.603774,0.547170,0.150943,0.479784
117,zh,Religion,0.596774,0.419355,0.596774,0.483871,0.483871,0.435484,0.338710,0.479263
52,en,Education & Jobs,0.509091,0.563636,0.490909,0.490909,0.363636,0.509091,0.400000,0.475325
47,zh,Software Development,0.476923,0.530769,0.338462,0.515385,0.492308,0.492308,0.476923,0.474725
119,zh,Travel,0.525424,0.508475,0.440678,0.423729,0.508475,0.542373,0.355932,0.472155
57,zh,Education & Jobs,0.490909,0.436364,0.636364,0.545455,0.400000,0.472727,0.309091,0.470130
122,en,Home & Hobbies,0.586207,0.448276,0.321839,0.551724,0.425287,0.551724,0.298851,0.454844
118,en,Religion,0.421053,0.368421,0.491228,0.578947,0.508772,0.403509,0.368421,0.448622
1,zh,Finance & Business,0.534483,0.534483,0.206897,0.534483,0.500000,0.362069,0.362069,0.433498
106,en,Entertainment,0.568627,0.568627,0.539216,0.450980,0.460784,0.323529,0.117647,0.432773
89,zh,Hardware,0.513514,0.459459,0.432432,0.391892,0.527027,0.378378,0.324324,0.432432
132,en,Fashion & Beauty,0.521127,0.422535,0.394366,0.591549,0.352113,0.408451,0.323944,0.430584
80,en,History,0.513514,0.486486,0.567568,0.243243,0.324324,0.432432,,0.427928
97,zh,Art & Design,0.483871,0.500000,,0.435484,0.516129,0.338710,0.290323,0.427419
37,zh,Science & Technology,0.608696,0.413043,0.456522,0.282609,0.500000,0.413043,0.304348,0.425466
113,zh,Software,0.655738,0.393443,0.344262,0.393443,0.344262,0.524590,0.311475,0.423888
109,zh,Transportation,0.462687,0.417910,0.373134,0.507463,0.343284,0.432836,,0.422886
63,zh,Health,0.421875,0.406250,0.453125,0.343750,0.515625,0.390625,0.421875,0.421875
24,en,Science & Technology,0.500000,0.416667,0.468750,0.437500,0.406250,0.375000,0.343750,0.421131
85,zh,History,0.517857,0.500000,0.428571,0.375000,0.392857,0.464286,0.250000,0.418367
130,en,Food & Dining,0.360000,0.586667,0.386667,0.573333,0.373333,0.346667,0.280000,0.415238
92,en,Industrial,0.595238,0.404762,0.392857,0.261905,0.583333,0.511905,0.154762,0.414966
98,en,Art & Design,0.491228,0.473684,0.456140,0.421053,0.456140,0.473684,0.070175,0.406015
101,zh,Games,0.512821,0.384615,0.384615,0.410256,0.358974,0.410256,0.333333,0.399267
124,en,Home & Hobbies,0.443038,0.455696,0.468354,0.392405,0.329114,0.392405,0.303797,0.397830
59,zh,Education & Jobs,0.227273,0.469697,0.530303,0.272727,0.424242,0.454545,0.333333,0.387446
61,zh,Education & Jobs,0.254902,0.392157,0.450980,0.764706,0.352941,0.235294,0.176471,0.375350
128,en,Food & Dining,0.523077,0.400000,0.261538,0.323077,0.353846,0.492308,0.246154,0.371429
108,en,Transportation,0.447368,0.394737,0.565789,0.250000,0.302632,0.368421,0.263158,0.370301
78,en,Literature,0.533333,0.350000,0.316667,0.450000,0.383333,0.316667,0.233333,0.369048
29,zh,Science & Technology,0.313433,0.537313,0.328358,0.373134,0.477612,0.238806,0.313433,0.368870
55,zh,Education & Jobs,0.571429,0.346939,0.000000,0.612245,0.448980,0.346939,0.244898,0.367347
18,en,Science & Technology,0.384615,0.323077,0.569231,0.307692,0.369231,0.338462,0.276923,0.367033
13,zh,Finance & Business,0.622047,0.488189,0.267717,0.212598,0.433071,0.188976,0.338583,0.364454
28,en,Science & Technology,0.512500,0.350000,0.325000,0.437500,0.362500,0.212500,0.325000,0.360714
38,en,Science & Technology,0.456522,0.402174,0.336957,0.315217,0.336957,0.336957,0.336957,0.360248
127,zh,Social Life,0.338710,0.338710,0.403226,0.322581,0.322581,0.387097,0.403226,0.359447
116,en,Religion,0.380000,0.340000,0.380000,0.400000,0.380000,0.400000,0.220000,0.357143
104,en,Crime & Law,0.450000,0.400000,,,0.475000,0.350000,0.100000,0.355000
50,en,Software Development,0.285714,0.339286,0.428571,0.375000,0.321429,0.375000,0.357143,0.354592
125,zh,Social Life,0.402985,0.313433,0.522388,0.238806,0.417910,0.417910,0.149254,0.351812
30,en,Science & Technology,0.447368,0.460526,0.355263,0.302632,0.263158,0.394737,0.210526,0.347744
53,zh,Education & Jobs,0.378378,0.378378,0.445946,0.337838,0.283784,0.283784,0.324324,0.347490
110,en,Sports & Fitness,0.435484,0.403226,0.290323,0.403226,0.258065,0.306452,0.322581,0.345622
35,zh,Science & Technology,0.375000,0.363636,0.193182,0.329545,0.392045,0.386364,0.357955,0.342532
48,en,Software Development,0.442857,0.328571,0.314286,0.371429,0.214286,0.428571,0.271429,0.338776
99,zh,Art & Design,0.353846,0.369231,0.276923,0.446154,0.369231,0.292308,0.230769,0.334066
33,zh,Science & Technology,0.383562,0.369863,0.246575,0.356164,0.260274,0.397260,0.273973,0.326810
115,zh,Religion,0.304348,0.391304,0.413043,0.326087,0.369565,0.195652,0.282609,0.326087
73,zh,Health,0.472527,0.219780,0.373626,0.252747,0.428571,0.153846,0.351648,0.321821
87,zh,Hardware,0.389831,0.423729,0.237288,0.322034,0.389831,0.135593,0.271186,0.309927
70,en,Health,0.556818,0.215909,0.204545,0.215909,0.238636,0.534091,0.193182,0.308442
88,en,Hardware,0.422222,0.355556,0.200000,0.322222,0.122222,0.466667,0.188889,0.296825
42,en,Software Development,0.360000,0.360000,0.360000,0.226667,0.200000,0.333333,0.200000,0.291429
66,en,Health,0.323529,0.455882,0.250000,0.338235,0.294118,0.205882,0.161765,0.289916
102,en,Games,0.285714,0.392857,0.285714,0.303571,0.321429,0.142857,0.267857,0.285714
90,en,Hardware,0.247525,0.316832,0.257426,0.277228,0.346535,0.326733,0.217822,0.284300
129,zh,Food & Dining,0.101695,0.338983,0.186441,0.355932,0.355932,0.338983,0.288136,0.280872
5,zh,Finance & Business,0.250000,0.208333,0.395833,0.437500,0.229167,0.250000,0.166667,0.276786
23,zh,Science & Technology,0.306667,0.333333,0.240000,0.306667,0.226667,0.306667,0.213333,0.276190
65,zh,Health,0.345455,0.200000,0.254545,0.363636,0.327273,0.272727,0.145455,0.272727
22,en,Science & Technology,0.276923,0.384615,0.230769,0.276923,0.246154,0.215385,0.276923,0.272527
111,zh,Sports & Fitness,0.223881,0.223881,0.268657,0.238806,0.328358,0.343284,0.253731,0.268657
54,en,Education & Jobs,0.264706,0.264706,0.264706,0.323529,0.250000,0.279412,0.205882,0.264706
74,en,Literature,0.337838,0.283784,0.270270,0.378378,0.175676,0.270270,0.135135,0.264479
45,zh,Software Development,0.127660,0.340426,0.382979,0.276596,0.340426,0.148936,0.170213,0.255319
131,zh,Fashion & Beauty,0.400000,0.082353,0.200000,0.847059,0.141176,0.000000,0.082353,0.250420
107,zh,Transportation,0.241935,0.395161,0.354839,0.112903,0.177419,0.306452,0.112903,0.243088
96,en,Industrial,0.275362,0.217391,0.275362,0.246377,0.144928,0.275362,0.231884,0.238095
81,zh,History,0.309524,0.238095,0.142857,0.190476,0.261905,0.285714,0.238095,0.238095
79,zh,Literature,0.270833,0.187500,,,0.208333,0.291667,0.229167,0.237500
4,en,Finance & Business,0.402778,0.361111,0.180556,0.180556,0.236111,0.194444,0.069444,0.232143
105,zh,Entertainment,0.160714,0.303571,0.196429,0.178571,0.214286,0.267857,0.285714,0.229592
32,en,Science & Technology,0.254717,0.150943,0.320755,0.235849,0.216981,0.273585,0.094340,0.221024
17,zh,Science & Technology,0.255556,0.266667,0.233333,0.155556,0.288889,0.133333,0.211111,0.220635
112,en,Sports & Fitness,0.109589,0.273973,0.260274,0.136986,0.205479,0.315068,0.191781,0.213307
3,zh,Finance & Business,0.301205,0.192771,0.216867,0.192771,0.216867,0.204819,0.144578,0.209983
39,zh,Software Development,0.187500,0.196429,0.232143,0.232143,0.187500,0.223214,0.151786,0.201531
62,en,Health,0.282051,0.230769,0.307692,0.205128,0.000000,0.230769,0.128205,0.197802
93,zh,Industrial,0.210526,0.250000,0.118421,0.184211,0.197368,0.210526,0.197368,0.195489
2,en,Finance & Business,0.238532,0.229358,0.311927,0.137615,0.183486,0.165138,0.100917,0.195282
120,en,Travel,0.487179,0.184615,0.215385,0.005128,0.235897,0.174359,0.015385,0.188278
27,zh,Science & Technology,0.179487,0.166667,0.397436,0.115385,0.153846,0.179487,0.115385,0.186813
91,zh,Hardware,0.252747,0.186813,0.142857,0.362637,0.164835,0.153846,0.032967,0.185243
82,en,History,0.206897,0.103448,,0.155172,0.206897,0.137931,0.172414,0.163793
8,en,Finance & Business,0.236111,0.180556,0.222222,0.152778,0.166667,0.013889,0.111111,0.154762
126,en,Social Life,0.356164,0.246575,0.123288,0.027397,0.164384,0.054795,0.082192,0.150685
58,en,Education & Jobs,0.174603,0.119048,0.134921,0.126984,0.142857,0.119048,0.126984,0.134921
56,en,Education & Jobs,0.114286,0.128571,0.128571,0.114286,0.142857,0.128571,0.171429,0.132653
40,en,Software Development,0.094891,0.058394,0.116788,0.051095,0.124088,0.051095,0.175182,0.095933
25,zh,Science & Technology,0.098039,0.058824,0.117647,0.078431,0.088235,0.058824,0.058824,0.079832
94,en,Industrial,0.139785,0.053763,0.053763,0.053763,0.043011,0.000000,0.021505,0.052227
avg,,,0.453964,0.419808,0.409853,0.392498,0.392316,0.385810,0.298853,0.393335
