idx,language,theme,grok-1,gemini,OpenAI,tongyi,doubao,perplexity,qwen,avg
15,zh,Finance & Business,1.000000,1.000000,1.000000,1.000000,,0.800000,1.000000,0.966667
116,en,Religion,1.000000,1.000000,1.000000,0.750000,1.000000,1.000000,1.000000,0.964286
20,en,Science & Technology,1.000000,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,0.964286
58,en,Education & Jobs,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,1.000000,0.964286
53,zh,Education & Jobs,1.000000,0.857143,1.000000,1.000000,1.000000,1.000000,0.857143,0.959184
113,zh,Software,1.000000,1.000000,1.000000,0.833333,1.000000,1.000000,0.833333,0.952381
48,en,Software Development,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.952381
70,en,Health,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.952381
85,zh,History,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.952381
79,zh,Literature,1.000000,1.000000,0.750000,1.000000,,1.000000,,0.950000
14,en,Finance & Business,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.800000,0.942857
43,zh,Software Development,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,1.000000,0.942857
73,zh,Health,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,1.000000,0.942857
30,en,Science & Technology,1.000000,1.000000,1.000000,1.000000,0.600000,1.000000,1.000000,0.942857
42,en,Software Development,1.000000,0.857143,1.000000,1.000000,1.000000,1.000000,0.714286,0.938776
51,zh,Software Development,1.000000,1.000000,1.000000,0.857143,0.714286,1.000000,1.000000,0.938776
67,zh,Health,1.000000,1.000000,1.000000,1.000000,1.000000,0.571429,1.000000,0.938776
74,en,Literature,1.000000,1.000000,1.000000,0.857143,0.857143,0.857143,1.000000,0.938776
6,en,Finance & Business,1.000000,0.888889,1.000000,1.000000,0.888889,1.000000,0.777778,0.936508
77,zh,Literature,1.000000,0.800000,0.800000,1.000000,,1.000000,1.000000,0.933333
121,zh,Travel,0.750000,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,0.928571
130,en,Food & Dining,1.000000,0.750000,1.000000,0.750000,1.000000,1.000000,1.000000,0.928571
21,zh,Science & Technology,1.000000,1.000000,0.750000,1.000000,1.000000,1.000000,0.750000,0.928571
35,zh,Science & Technology,1.000000,1.000000,0.833333,1.000000,1.000000,0.833333,0.833333,0.928571
95,zh,Industrial,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.928571
96,en,Industrial,1.000000,1.000000,0.833333,0.833333,1.000000,1.000000,0.833333,0.928571
9,zh,Finance & Business,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.444444,0.920635
128,en,Food & Dining,1.000000,1.000000,1.000000,1.000000,0.428571,1.000000,1.000000,0.918367
76,en,Literature,1.000000,0.857143,1.000000,0.857143,0.857143,0.857143,1.000000,0.918367
26,en,Science & Technology,1.000000,1.000000,1.000000,0.750000,1.000000,1.000000,0.625000,0.910714
34,en,Science & Technology,1.000000,0.875000,1.000000,1.000000,0.875000,1.000000,0.625000,0.910714
52,en,Education & Jobs,1.000000,1.000000,1.000000,0.833333,0.833333,0.833333,0.833333,0.904762
10,en,Finance & Business,1.000000,1.000000,1.000000,1.000000,0.833333,0.666667,0.833333,0.904762
32,en,Science & Technology,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.904762
65,zh,Health,1.000000,1.000000,1.000000,1.000000,0.666667,1.000000,0.666667,0.904762
64,en,Health,,0.800000,1.000000,1.000000,1.000000,1.000000,0.600000,0.900000
100,en,Art & Design,1.000000,1.000000,1.000000,0.857143,0.714286,0.857143,0.857143,0.897959
18,en,Science & Technology,1.000000,1.000000,1.000000,0.750000,0.750000,0.750000,1.000000,0.892857
69,zh,Health,1.000000,1.000000,1.000000,0.666667,1.000000,0.555556,1.000000,0.888889
80,en,History,1.000000,1.000000,1.000000,,1.000000,1.000000,0.333333,0.888889
17,zh,Science & Technology,1.000000,1.000000,1.000000,1.000000,1.000000,0.200000,1.000000,0.885714
2,en,Finance & Business,1.000000,1.000000,0.800000,0.800000,1.000000,0.800000,0.800000,0.885714
27,zh,Science & Technology,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.885714
7,zh,Finance & Business,1.000000,1.000000,0.800000,0.800000,0.800000,1.000000,0.800000,0.885714
78,en,Literature,1.000000,1.000000,0.800000,1.000000,0.800000,0.800000,0.800000,0.885714
11,zh,Finance & Business,1.000000,1.000000,0.833333,0.833333,0.833333,0.833333,0.833333,0.880952
37,zh,Science & Technology,0.833333,0.833333,0.833333,0.833333,1.000000,1.000000,0.833333,0.880952
89,zh,Hardware,1.000000,0.833333,1.000000,0.833333,0.666667,1.000000,0.833333,0.880952
38,en,Science & Technology,1.000000,1.000000,1.000000,1.000000,0.857143,0.285714,1.000000,0.877551
93,zh,Industrial,1.000000,1.000000,1.000000,1.000000,0.375000,1.000000,0.750000,0.875000
111,zh,Sports & Fitness,1.000000,1.000000,0.888889,1.000000,0.888889,0.444444,0.888889,0.873016
97,zh,Art & Design,1.000000,1.000000,1.000000,0.833333,,0.833333,0.500000,0.861111
112,en,Sports & Fitness,0.750000,0.750000,1.000000,0.750000,0.750000,1.000000,1.000000,0.857143
118,en,Religion,1.000000,1.000000,0.750000,1.000000,1.000000,0.750000,0.500000,0.857143
117,zh,Religion,1.000000,0.800000,0.800000,0.800000,0.800000,0.800000,1.000000,0.857143
129,zh,Food & Dining,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.333333,0.857143
16,en,Science & Technology,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143
49,zh,Software Development,1.000000,0.857143,1.000000,1.000000,0.857143,0.857143,0.428571,0.857143
84,en,History,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.750000,0.857143
98,en,Art & Design,1.000000,1.000000,0.500000,0.750000,1.000000,1.000000,0.750000,0.857143
22,en,Science & Technology,1.000000,1.000000,0.857143,0.857143,0.571429,0.714286,0.857143,0.836735
40,en,Software Development,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333
12,en,Finance & Business,1.000000,1.000000,1.000000,0.666667,1.000000,0.833333,0.333333,0.833333
131,zh,Fashion & Beauty,1.000000,0.833333,1.000000,1.000000,1.000000,0.000000,1.000000,0.833333
63,zh,Health,0.833333,1.000000,0.666667,1.000000,0.666667,0.833333,0.833333,0.833333
87,zh,Hardware,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,0.833333
110,en,Sports & Fitness,1.000000,0.800000,0.800000,1.000000,0.800000,0.800000,0.600000,0.828571
92,en,Industrial,1.000000,0.600000,1.000000,1.000000,0.800000,1.000000,0.400000,0.828571
122,en,Home & Hobbies,0.857143,0.857143,1.000000,0.857143,0.714286,0.714286,0.714286,0.816327
46,en,Software Development,0.857143,0.857143,0.857143,0.714286,1.000000,0.714286,0.714286,0.816327
55,zh,Education & Jobs,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,1.000000,0.809524
90,en,Hardware,0.875000,0.750000,0.875000,0.750000,0.750000,0.875000,0.750000,0.803571
5,zh,Finance & Business,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000
81,zh,History,1.000000,1.000000,0.800000,0.800000,0.800000,0.400000,0.800000,0.800000
102,en,Games,1.000000,1.000000,1.000000,0.800000,0.800000,0.000000,1.000000,0.800000
82,en,History,1.000000,0.600000,1.000000,1.000000,,0.600000,0.600000,0.800000
25,zh,Science & Technology,1.000000,0.857143,0.714286,0.714286,0.714286,0.857143,0.714286,0.795918
126,en,Social Life,1.000000,0.833333,0.833333,1.000000,0.833333,0.666667,0.333333,0.785714
39,zh,Software Development,0.833333,0.666667,0.666667,0.833333,0.666667,0.833333,1.000000,0.785714
68,en,Health,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,1.000000,0.785714
23,zh,Science & Technology,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.600000,0.771429
109,zh,Transportation,0.857143,0.857143,0.857143,,0.714286,0.428571,0.857143,0.761905
44,en,Software Development,1.000000,1.000000,0.333333,0.666667,0.666667,1.000000,0.666667,0.761905
61,zh,Education & Jobs,0.833333,0.833333,0.666667,0.666667,0.666667,0.666667,1.000000,0.761905
24,en,Science & Technology,0.857143,0.857143,0.857143,0.714286,0.857143,0.714286,0.428571,0.755102
91,zh,Hardware,1.000000,1.000000,0.500000,0.250000,1.000000,1.000000,0.500000,0.750000
105,zh,Entertainment,0.800000,1.000000,0.400000,1.000000,0.600000,1.000000,0.400000,0.742857
119,zh,Travel,0.833333,0.833333,0.833333,0.833333,0.833333,0.333333,0.666667,0.738095
33,zh,Science & Technology,0.666667,0.833333,0.833333,0.833333,0.666667,0.666667,0.666667,0.738095
31,zh,Science & Technology,0.833333,0.666667,0.833333,0.833333,0.666667,0.666667,0.666667,0.738095
57,zh,Education & Jobs,0.833333,0.666667,0.833333,0.500000,0.833333,0.833333,0.666667,0.738095
106,en,Entertainment,0.750000,1.000000,0.750000,0.750000,0.750000,0.500000,0.500000,0.714286
114,en,Software,0.800000,0.800000,0.600000,1.000000,0.800000,0.600000,0.400000,0.714286
56,en,Education & Jobs,0.800000,0.800000,0.600000,0.800000,0.800000,0.800000,0.400000,0.714286
124,en,Home & Hobbies,0.800000,0.700000,0.800000,0.600000,0.900000,0.400000,0.700000,0.700000
1,zh,Finance & Business,1.000000,0.833333,0.833333,0.833333,0.166667,0.833333,0.333333,0.690476
13,zh,Finance & Business,0.833333,0.833333,1.000000,0.833333,0.333333,0.500000,0.500000,0.690476
120,en,Travel,1.000000,1.000000,1.000000,0.250000,1.000000,0.250000,0.250000,0.678571
86,en,Hardware,0.600000,0.800000,,0.800000,0.600000,0.800000,0.400000,0.666667
107,zh,Transportation,0.857143,0.714286,0.714286,0.428571,0.571429,0.571429,0.714286,0.653061
88,en,Hardware,0.000000,0.857143,0.857143,0.571429,0.857143,0.857143,0.571429,0.653061
62,en,Health,0.000000,0.500000,1.000000,0.750000,1.000000,0.750000,0.500000,0.642857
71,zh,Health,1.000000,0.750000,0.500000,0.500000,0.500000,0.750000,0.250000,0.607143
8,en,Finance & Business,0.833333,0.833333,0.833333,0.833333,0.500000,0.000000,0.333333,0.595238
4,en,Finance & Business,0.625000,0.875000,1.000000,0.250000,0.750000,0.500000,0.000000,0.571429
72,en,Health,0.500000,0.500000,0.500000,0.500000,0.500000,0.833333,0.666667,0.571429
123,zh,Home & Hobbies,0.600000,0.600000,0.600000,0.400000,0.400000,0.600000,0.400000,0.514286
45,zh,Software Development,0.800000,0.800000,0.400000,0.800000,0.200000,0.200000,0.200000,0.485714
94,en,Industrial,0.500000,0.500000,0.833333,0.333333,0.666667,0.000000,0.500000,0.476190
66,en,Health,0.600000,0.500000,0.500000,0.500000,0.400000,0.300000,0.300000,0.442857
28,en,Science & Technology,0.400000,0.600000,0.600000,0.400000,0.200000,0.200000,0.400000,0.400000
avg,,,0.914204,0.902396,0.891627,0.861291,0.835094,0.793362,0.745946,0.849306
