idx,language,theme,qwen,gemini,OpenAI,tongyi,doubao,perplexity,grok-1,avg
10,en,Finance & Business,0.029851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004264
90,en,Hardware,0.000000,0.009901,0.000000,0.019802,0.000000,0.000000,0.000000,0.004243
25,zh,Science & Technology,0.009804,0.000000,0.000000,0.000000,0.009804,0.009804,0.000000,0.004202
15,zh,Finance & Business,0.000000,0.000000,0.000000,0.000000,,0.018182,0.000000,0.003030
106,en,Entertainment,0.000000,0.000000,0.000000,0.000000,0.000000,0.019608,0.000000,0.002801
123,zh,Home & Hobbies,0.000000,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.002506
1,zh,Finance & Business,0.017241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002463
36,en,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.016949,0.000000,0.000000,0.002421
113,zh,Software,0.000000,0.000000,0.000000,0.016393,0.000000,0.000000,0.000000,0.002342
59,zh,Education & Jobs,0.000000,0.015152,0.000000,0.000000,0.000000,0.000000,0.000000,0.002165
33,zh,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.013699,0.000000,0.000000,0.001957
23,zh,Science & Technology,0.000000,0.013333,0.000000,0.000000,0.000000,0.000000,0.000000,0.001905
102,en,Games,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,en,Art & Design,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
124,en,Home & Hobbies,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,en,Food & Dining,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,en,Finance & Business,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,zh,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,en,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,en,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,zh,Finance & Business,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,en,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,zh,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,zh,Software Development,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,en,Software Development,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,zh,Software Development,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,zh,Software Development,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,en,Education & Jobs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,zh,Education & Jobs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,zh,Software Development,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,en,Health,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,en,Literature,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84,en,History,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,zh,Industrial,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,en,Science & Technology,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
avg,,,0.132016,0.045351,0.026662,0.023221,0.016385,0.008520,0.002365,0.036358
