idx,language,theme,gemini,OpenAI,doubao,qwen,perplexity,grok-1,tongyi,avg
118,en,Religion,0.352941,0.411765,0.529412,0.588235,0.352941,0.529412,0.352941,0.445378
125,zh,Social Life,0.333333,0.400000,0.800000,0.533333,0.400000,0.400000,0.200000,0.438095
85,zh,History,0.611111,0.611111,0.500000,0.222222,0.555556,0.388889,0.166667,0.436508
103,zh,Crime & Law,0.555556,0.444444,0.222222,0.555556,0.555556,0.333333,0.333333,0.428571
108,en,Transportation,0.400000,0.500000,0.700000,0.100000,0.400000,0.600000,0.300000,0.428571
112,en,Sports & Fitness,0.666667,0.111111,0.444444,0.555556,0.555556,0.000000,0.666667,0.428571
6,en,Finance & Business,0.307692,0.307692,0.538462,0.384615,0.615385,0.461538,0.384615,0.428571
46,en,Software Development,0.444444,0.555556,0.333333,0.444444,0.444444,0.333333,0.333333,0.412698
121,zh,Travel,0.333333,0.388889,0.444444,0.777778,0.444444,0.333333,0.111111,0.404762
95,zh,Industrial,0.600000,0.300000,0.300000,0.500000,0.400000,0.400000,0.300000,0.400000
41,zh,Software Development,0.444444,0.333333,0.555556,0.444444,0.444444,0.222222,0.333333,0.396825
29,zh,Science & Technology,0.583333,0.416667,0.250000,0.416667,0.333333,0.500000,0.166667,0.380952
18,en,Science & Technology,0.363636,0.363636,0.636364,0.272727,0.363636,0.272727,0.363636,0.376623
107,zh,Transportation,0.500000,0.250000,0.500000,0.375000,0.375000,0.250000,0.375000,0.375000
51,zh,Software Development,0.500000,0.375000,0.500000,0.250000,0.250000,0.375000,0.375000,0.375000
110,en,Sports & Fitness,0.416667,0.500000,0.250000,0.750000,0.333333,0.083333,0.250000,0.369048
62,en,Health,0.500000,0.500000,0.500000,0.416667,0.500000,0.000000,0.166667,0.369048
87,zh,Hardware,0.500000,0.333333,0.333333,0.500000,0.166667,0.500000,0.250000,0.369048
5,zh,Finance & Business,0.300000,0.400000,0.500000,0.500000,0.350000,0.300000,0.200000,0.364286
1,zh,Finance & Business,0.500000,0.500000,0.192308,0.461538,0.230769,0.384615,0.269231,0.362637
78,en,Literature,0.200000,0.533333,0.266667,0.466667,0.466667,0.400000,0.200000,0.361905
122,en,Home & Hobbies,0.357143,0.214286,0.500000,0.285714,0.357143,0.500000,0.285714,0.357143
26,en,Science & Technology,0.300000,0.800000,0.500000,0.400000,0.100000,0.100000,0.300000,0.357143
104,en,Crime & Law,0.230769,0.615385,,,0.461538,0.461538,0.000000,0.353846
113,zh,Software,0.176471,0.647059,0.470588,0.294118,0.470588,0.058824,0.352941,0.352941
109,zh,Transportation,0.400000,0.300000,0.300000,0.400000,0.400000,0.300000,,0.350000
130,en,Food & Dining,0.555556,0.333333,0.444444,0.555556,0.222222,0.222222,0.111111,0.349206
20,en,Science & Technology,0.333333,0.555556,0.444444,0.222222,0.444444,0.222222,0.222222,0.349206
80,en,History,0.454545,0.363636,0.727273,0.090909,0.454545,0.000000,,0.348485
131,zh,Fashion & Beauty,0.125000,0.625000,0.687500,0.562500,0.000000,0.375000,0.062500,0.348214
66,en,Health,0.600000,0.300000,0.300000,0.400000,0.300000,0.300000,0.200000,0.342857
42,en,Software Development,0.476190,0.333333,0.428571,0.142857,0.619048,0.095238,0.285714,0.340136
99,zh,Art & Design,0.235294,0.352941,0.176471,0.588235,0.235294,0.470588,0.294118,0.336134
98,en,Art & Design,0.384615,0.384615,0.384615,0.384615,0.384615,0.384615,0.000000,0.329670
128,en,Food & Dining,0.285714,0.428571,0.428571,0.142857,0.428571,0.428571,0.142857,0.326531
36,en,Science & Technology,0.571429,0.285714,0.142857,0.571429,0.142857,0.142857,0.428571,0.326531
111,zh,Sports & Fitness,0.222222,0.277778,0.277778,0.277778,0.500000,0.388889,0.333333,0.325397
53,zh,Education & Jobs,0.500000,0.250000,0.375000,0.625000,0.000000,0.250000,0.250000,0.321429
116,en,Religion,0.352941,0.294118,0.411765,0.294118,0.411765,0.294118,0.176471,0.319328
50,en,Software Development,0.307692,0.230769,0.384615,0.384615,0.384615,0.230769,0.307692,0.318681
9,zh,Finance & Business,0.414634,0.317073,0.512195,0.170732,0.414634,0.292683,0.097561,0.317073
28,en,Science & Technology,0.294118,0.470588,0.352941,0.235294,0.352941,0.294118,0.176471,0.310924
81,zh,History,0.263158,0.421053,0.105263,0.210526,0.526316,0.315789,0.315789,0.308271
74,en,Literature,0.363636,0.545455,0.363636,0.363636,0.181818,0.090909,0.090909,0.285714
8,en,Finance & Business,0.363636,0.363636,0.909091,0.000000,0.000000,0.363636,0.000000,0.285714
63,zh,Health,0.263158,0.263158,0.315789,0.210526,0.263158,0.368421,0.263158,0.278195
34,en,Science & Technology,0.523810,0.380952,0.238095,0.190476,0.428571,0.000000,0.142857,0.272109
32,en,Science & Technology,0.300000,0.300000,0.200000,0.400000,0.400000,0.200000,0.100000,0.271429
3,zh,Finance & Business,0.500000,0.000000,0.250000,0.250000,0.125000,0.500000,0.250000,0.267857
101,zh,Games,0.333333,0.333333,0.166667,0.166667,0.250000,0.250000,0.250000,0.250000
17,zh,Science & Technology,0.375000,0.125000,0.250000,0.000000,0.250000,0.250000,0.375000,0.232143
73,zh,Health,0.125000,0.125000,0.250000,0.500000,0.250000,0.250000,0.125000,0.232143
82,en,History,0.153846,0.230769,,0.307692,0.230769,0.230769,0.230769,0.230769
120,en,Travel,0.000000,0.400000,0.400000,0.000000,0.000000,0.400000,0.400000,0.228571
65,zh,Health,0.000000,0.272727,0.181818,0.454545,0.181818,0.272727,0.090909,0.207792
2,en,Finance & Business,0.294118,0.176471,0.470588,0.058824,0.235294,0.117647,0.058824,0.201681
79,zh,Literature,0.214286,0.285714,,,0.214286,0.142857,0.142857,0.200000
55,zh,Education & Jobs,0.200000,0.300000,0.000000,0.400000,0.100000,0.200000,0.100000,0.185714
27,zh,Science & Technology,0.125000,0.125000,0.750000,0.000000,0.125000,0.083333,0.041667,0.178571
91,zh,Hardware,0.000000,0.666667,0.000000,0.333333,0.222222,0.000000,0.000000,0.174603
115,zh,Religion,0.222222,0.111111,0.111111,0.111111,0.111111,0.333333,0.111111,0.158730
97,zh,Art & Design,0.250000,0.125000,,0.187500,0.062500,0.187500,0.062500,0.145833
126,en,Social Life,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,0.142857
4,en,Finance & Business,0.181818,0.272727,0.000000,0.090909,0.181818,0.000000,0.000000,0.103896
7,zh,Finance & Business,0.100000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.042857
25,zh,Science & Technology,0.000000,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.026786
94,en,Industrial,0.027027,0.094595,0.013514,0.027027,0.000000,0.013514,0.000000,0.025097
avg,,,0.519118,0.498501,0.494317,0.480439,0.444725,0.425009,0.358864,0.460088
